department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won,avg_training_score,is_promoted
4,14,0,0,2,3,34,3,7,1,0,60,0
7,11,1,1,2,1,38,3.80239092,9,1,0,94,1
7,18,0,1,2,1,33,4.555816341,5,1,0,47,1
7,2,0,1,2,1,43,1,17,0,0,49,0
7,15,2,1,0,1,35,3,6,1,0,50,1
7,14,0,0,1,1,29,3.954330168,2,1,0,92,1
5,18,0,0,0,2,29,3,3,1,1,72,0
7,11,0,1,0,1,23,3.859253821,2,1,0,47,1
8,14,1,1,2,1,33,4.975009668,7,1,0,80,1
4,18,1,0,1,1,36,4.109618064,7,1,0,57,1
0,14,0,1,2,3,28,5,5,0,0,84,1
7,14,0,1,0,1,33,3,6,1,0,51,0
8,14,0,0,2,1,28,3,4,1,0,81,0
5,18,1,1,0,1,36,3.96327187,9,1,0,70,1
4,11,0,1,0,1,30,4.946835793,2,1,0,72,1
6,25,0,1,2,1,28,5,3,0,0,82,0
4,14,1,0,1,2,33,3.505126783,8,1,0,58,1
7,31,0,0,0,1,36,4.961101077,7,1,0,49,1
7,7,0,1,2,1,35,2,8,0,0,53,0
7,4,0,1,0,1,36,2,7,0,0,51,0
7,3,0,1,0,1,26,4.067870481,1,1,0,95,1
4,6,0,1,0,1,39,2.902663778,2,0,0,74,1
6,1,0,1,2,1,30,3,2,0,0,88,0
0,23,0,1,1,1,32,5,9,1,0,84,1
8,23,0,0,2,1,28,4,3,1,0,94,1
7,3,0,1,2,1,45,3,6,0,0,47,0
1,14,0,0,0,1,24,3.319531776,2,0,0,90,1
4,8,0,0,2,1,35,5,7,0,0,60,0
8,18,1,1,0,1,38,4.578317795,8,1,0,78,1
8,19,0,0,2,1,28,5,2,1,0,79,0
5,18,0,1,0,1,38,3.859479408,2,1,0,69,1
4,31,0,1,2,1,35,2,3,0,0,64,0
7,28,0,1,0,1,33,5,2,1,0,49,0
8,12,0,0,0,1,36,5,9,1,0,75,1
4,14,0,1,2,3,33,5,3,1,0,57,0
3,11,0,0,0,1,30,4.558278761,3,1,0,60,1
7,4,0,1,0,1,26,4.736943352,2,1,0,46,1
0,14,0,1,0,1,28,4,2,1,0,87,1
2,11,2,0,2,1,38,4,4,1,0,45,0
7,15,1,1,0,1,34,3,7,1,0,46,1
4,25,0,1,0,1,35,4,3,1,0,74,1
6,14,2,1,0,1,32,4.494450303,4,0,0,86,1
0,14,1,1,2,1,38,3.560267309,3,0,0,85,1
6,28,0,1,0,1,28,4.730146456,4,0,0,76,1
4,25,2,0,2,1,43,2.441744483,15,0,0,74,1
7,14,0,0,0,2,25,3,2,0,0,50,0
4,6,0,1,2,2,32,5,6,0,0,60,0
0,14,0,0,2,1,30,4.081765212,5,0,0,82,1
4,19,2,1,0,1,41,4,11,0,0,62,0
7,1,2,0,2,1,31,2,6,0,0,46,0
0,24,0,1,0,2,34,4.036391746,9,1,0,83,1
4,13,2,0,2,2,35,3.720404926,8,0,0,70,1
5,4,1,1,0,1,46,3,14,1,0,52,1
6,19,0,0,2,1,40,4.915690704,10,1,0,55,1
0,2,0,1,2,1,37,3,9,0,0,88,0
6,11,1,0,0,1,53,4.279887659,6,1,0,73,1
8,4,0,0,0,1,33,3,4,1,0,76,1
0,20,1,1,0,1,33,4.185702377,8,0,0,99,1
0,10,0,1,0,1,33,3,7,1,0,85,1
7,14,0,1,2,4,43,2,17,0,0,53,0
7,14,0,0,1,1,27,2.030380337,2,0,0,58,1
4,31,1,0,1,1,40,2.057299401,11,0,0,69,1
5,28,2,0,2,2,37,1,7,1,0,65,0
7,19,0,1,1,1,30,5,5,1,0,48,1
8,11,2,0,1,1,33,3.360482035,2,0,0,80,1
8,26,2,1,0,1,59,3,27,0,0,77,0
4,4,0,1,0,1,53,3,17,0,0,61,0
3,11,1,0,2,1,26,5,2,0,0,57,0
2,31,2,1,0,1,37,3,3,0,0,51,0
1,11,2,1,0,1,47,3,18,0,0,65,0
4,5,0,1,0,1,36,5,3,1,1,60,0
4,31,0,0,0,1,35,5,4,1,0,57,1
8,4,0,0,0,1,29,1.279100892,4,1,0,78,1
0,15,0,1,0,1,36,3,9,1,0,81,1
0,12,1,1,0,1,39,5,4,0,0,83,1
7,14,0,1,0,1,25,3.551975031,3,0,0,60,1
7,31,0,1,2,1,30,3,5,1,0,50,1
2,17,0,0,0,1,26,4.200700744,4,1,0,51,1
8,12,0,0,2,1,44,5,12,1,0,81,1
8,23,0,0,0,1,35,4.470390743,2,1,0,81,1
7,11,0,0,0,1,57,4.200661687,18,0,0,90,1
4,4,0,0,1,1,33,5,6,0,0,89,1
7,28,1,1,2,1,55,3.768850596,4,1,0,45,1
4,32,0,1,0,1,32,5,4,0,0,59,0
5,28,0,1,2,3,32,1,4,0,0,70,0
7,14,2,1,2,1,29,2,8,0,0,53,0
